ID,Question
A001,無症状で発見されることが多い疾患はどれか。 ａ 大動脈解離 ｂ 腹部大動脈瘤 ｃ 感染性心内膜炎 ｄ 冠攣縮性狭心症 ｅ たこつぼ心筋症
A002,高齢者の入浴中の事故の予防で正しいのはどれか。 ａ 食後に入浴する。 ｂ 深夜に入浴する。 ｃ 浴槽から出た後は体を冷やす。 ｄ 気温が高い時期の入浴を避ける。 ｅ 居室と脱衣所の温度差をなくす。
A003,低カルシウム血症と低リン血症を同時にきたす病態はどれか。 ａ 腫瘍性骨軟化症 ｂ 甲状腺機能亢進症 ｃ ビタミン D 欠乏症 ｄ 副甲状腺機能低下症 ｅ 慢性腎臓病に伴うミネラル骨代謝異常
A004,無痛性虚血性心疾患をきたしやすいのはどれか。 ａ 糖尿病 ｂ 骨粗鬆症 ｃ 気管支喘息 ｄ Parkinson 病 ｅ 胃食道逆流症
A005,特発性肺線維症の症状・身体所見で誤っているのはどれか。 ａ ばち指 ｂ 湿性咳嗽 ｃ 体重減少 ｄ fine crackles ｅ 労作時呼吸困難
A006,疾患とその原因の組合せで誤っているのはどれか。 ａ 肝細胞癌 肝硬変 ｂ 食道腺癌 Barrett 食道 ｃ 胆道癌 先天性胆道拡張症 ｄ 膵管癌 膵・胆管合流異常症 ｅ 胃 癌 ヘリコバクター・ピロリ感染症
A007,我が国でのたばこ対策で実施されているのはどれか。 ａ たばこ広告の禁止 ｂ たばこパッケージの警告表示 ｃ ニコチン依存症の治療の無料化 ｄ 公共施設の屋内における空間分煙の義務化 ｅ 非喫煙者に対する医療保険の保険料の減額
A008,成人の痔瘻で誤っているのはどれか。 ａ 自然治癒する。 ｂ Crohn 病に合併する。 ｃ 肛門癌の原因になる。 ｄ 肛門周囲膿瘍で発症する。 ｅ 便意とは関係なく排膿する。
A009,神経性過食症〈大食症〉で正しいのはどれか。 ａ 自己肯定感が高い。 ｂ 過活動になることが多い。 ｃ 肥満に対する恐怖心はない。 ｄ 自己誘発嘔吐と下剤乱用を反復することが多い。 ｅ 食事をコントロールできるという感覚は保たれる。
A010,梅毒で誤っているのはどれか。 ａ TPHA は疾患活動性の指標となる。 ｂ 他の性感染症の合併について検索する。 ｃ 神経梅毒は感染からの期間を問わず起こる。 ｄ 妊婦が未治療の場合、児の先天梅毒の原因となる。 ｅ 日本では 10 年前と比較して報告数が増加している。
A011,腹圧性尿失禁の原因はどれか。 ａ 尿 閉 ｂ 脳梗塞 ｃ 過活動膀胱 ｄ 間質性膀胱炎 ｅ 前立腺全摘除術
A012,後天性の感音難聴を引き起こすウイルスはどれか。 ａ アデノウイルス ｂ Epstein-Barr〈EB〉ウイルス ｃ 単純ヘルペスウイルス ｄ 風疹ウイルス ｅ ムンプスウイルス
